OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210826-1-FLASH	0	20210826_BOTTOM_1_0002_0001.mp4	7212	20210826_TOP_1_0002_0001.mp4	9871	22.00532	PCPREF10	1.29129	-102.54201	381.44008	-1370.47072	0.72348	1.26973	3.89020	0.13950	1426.25433	16.33177	Carangidae	Carangoides	spp		1	AD	Passing			
20210826-1-FLASH	1	20210826_BOTTOM_1_0002_0001.mp4	7644	20210826_TOP_1_0002_0001.mp4	10303	22.12544	PCPREF10	1.41141	315.18880	-3384.49846	-6653.38605	5.01231	42.65391	85.80736	13.57193	7471.39342	26.55162	Serranidae	Variola	louti	37311166	1	AD	Passing			
20210826-1-FLASH	3	20210826_BOTTOM_1_0002_0001.mp4	8840	20210826_TOP_1_0002_0001.mp4	11499	22.45799	PCPREF10	1.74396	268.21216	-3118.97367	-5976.56968	4.09606	35.31538	69.22260	1.08172	6746.80070	27.13452	Pomacanthidae	Chaetodontoplus	personifer	37365008	2	AD	Passing			
20210826-1-FLASH	4	20210826_BOTTOM_1_0002_0001.mp4	10462	20210826_TOP_1_0002_0001.mp4	13121	22.90900	PCPREF10	2.19497	-611.60804	553.73943	-1594.35968	2.06239	1.99601	5.31660	6.15102	1795.18093	27.53768	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210826-1-FLASH	5	20210826_BOTTOM_1_0002_0001.mp4	68018	20210826_TOP_1_0002_0001.mp4	70677	38.91276	PCPREF15	0.01029	-649.35296	261.06533	-1345.25201	1.93366	1.02182	4.12025	15.39685	1516.41596	27.45649	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing			
20210826-1-FLASH	6	20210826_BOTTOM_1_0002_0001.mp4	68168	20210826_TOP_1_0002_0001.mp4	70827	38.95447	PCPREF15	0.05200	314.44336	904.55874	-4865.57775	3.74824	9.23044	47.08804	13.12604	4958.92609	11.38366	Labridae	Bodianus	solatus	37384201	1	AD	Passing			
20210826-1-FLASH	10	20210826_BOTTOM_1_0002_0001.mp4	70687	20210826_TOP_1_0003_0001.mp4	1418	39.65489	PCPREF15	0.75242	-1736.30140	-1693.74972	-5803.98331	21.25000	21.00286	71.34075	3.39231	6290.44935	22.73594	Haemulidae				1	AD	Passing			
20210826-1-FLASH	12	20210826_BOTTOM_1_0002_0001.mp4	70766	20210826_TOP_1_0003_0001.mp4	1497	39.67686	PCPREF15	0.77438	-601.97002	-1800.47866	-3213.62545	4.21966	11.86099	21.18903	8.65873	3732.48977	30.64693	Labridae	Bodianus	solatus	37384201	1	AD	Passing			
20210826-1-FLASH	19	20210826_BOTTOM_1_0002_0001.mp4	71363	20210826_TOP_1_0003_0001.mp4	2094	39.84286	PCPREF15	0.94038	-339.42249	1671.20945	-3809.70851	3.12085	12.98669	29.18487	16.65675	4173.97025	24.37255	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing			
20210826-1-FLASH	21	20210826_BOTTOM_1_0002_0001.mp4	71398	20210826_TOP_1_0003_0001.mp4	2129	39.85259	PCPREF15	0.95012	269.80109	642.88411	-2454.84192	1.72422	3.38630	12.02991	4.04602	2551.92897	16.09814	Chaetodontidae	Heniochus	acuminatus	37365011	1	AD	Passing			
20210826-1-FLASH	22	20210826_BOTTOM_1_0002_0001.mp4	71398	20210826_TOP_1_0003_0001.mp4	2129	39.85259	PCPREF15	0.95012	1170.88353	2181.87370	-6330.95472	14.34147	27.14155	77.52168	14.18738	6797.97975	21.59394	Chaetodontidae	Heniochus	acuminatus	37365011	1	AD	Passing			
20210826-1-FLASH	24	20210826_BOTTOM_1_0003_0001.mp4	4225	20210826_TOP_1_0003_0001.mp4	6884	41.17474	PCPREF15	2.27227	-94.09621	2769.26346	-5677.13464	2.87532	31.37162	63.69866	18.58740	6317.24085	26.27882	Serranidae	Plectropomus	spp		1	AD	Passing			
20210826-1-FLASH	28	20210826_BOTTOM_1_0004_0001.mp4	1008	20210826_TOP_1_0004_0001.mp4	3667	60.28022	PCPREF8	0.00000	-1095.11517	-3103.07176	-5315.53853	11.92099	32.50411	57.12652	5.34371	6251.66230	31.21480	Chaetodontidae	Heniochus	acuminatus	37365011	1	AD	Passing			
20210826-1-FLASH	33	20210826_BOTTOM_1_0004_0001.mp4	5566	20210826_TOP_1_0004_0001.mp4	8225	61.54760	PCPREF8	1.26738	-1819.15154	-2554.43219	-7239.81651	27.05295	36.95255	108.03200	0.23290	7889.82758	22.95116	Pomacanthidae	Chaetodontoplus	personifer	37365008	4	AD	Passing			
20210826-1-FLASH	34	20210826_BOTTOM_1_0004_0001.mp4	5600	20210826_TOP_1_0004_0001.mp4	8259	61.55705	PCPREF8	1.27683	-1259.43185	-3177.75665	-6945.34153	18.00640	43.79759	98.42468	2.57688	7740.93501	25.66743	Pomacanthidae	Chaetodontoplus	personifer	37365008	2	AD	Passing			
20210826-1-FLASH	38	20210826_BOTTOM_1_0004_0001.mp4	50011	20210826_TOP_1_0004_0001.mp4	52670	73.90578	PCFB24	0.75381	720.36460	-149.33248	-5064.92583	7.32676	2.65666	49.64582	2.69595	5118.07571	8.17567	Labridae	Bodianus	solatus	37384201	1	AD	Passing			
20210826-1-FLASH	39	20210826_BOTTOM_1_0004_0001.mp4	50086	20210826_TOP_1_0004_0001.mp4	52745	73.92663	PCFB24	0.77466	157.44543	-174.54430	-5426.60844	3.05059	2.95583	58.70790	19.23284	5431.69715	2.08687	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210826-1-FLASH	45	20210826_BOTTOM_1_0005_0001.mp4	52360	20210826_TOP_1_0005_0001.mp4	55019	94.55891	PCPREF7	0.01196	104.85389	2201.62495	-4090.83034	2.07745	17.81679	32.81774	14.90346	4646.83114	28.57846	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	4	AD	Passing			
20210826-1-FLASH	46	20210826_BOTTOM_1_0005_0001.mp4	62057	20210826_TOP_1_0005_0001.mp4	64716	97.25521	PCPREF7	2.70826	-750.21373	-1150.11639	-1864.20218	2.77599	4.16934	6.81758	2.01450	2315.34838	35.94686	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
20210826-1-FLASH	49	20210826_BOTTOM_1_0006_0001.mp4	68651	20210826_TOP_1_0006_0001.mp4	71310	119.08869	PCFB38	0.15432	-457.55265	-1608.83916	-3510.61236	3.68292	11.29134	25.22187	11.97627	3888.71663	24.91934	Lutjanidae	Pristipomoides	sp1		1	AD	Passing			
20210826-1-FLASH	52	20210826_BOTTOM_1_0007_0001.mp4	42821	20210826_TOP_1_0007_0001.mp4	45480	131.90650	PCFB7	2.07680	-280.93850	-302.11926	-951.08015	0.70585	0.75992	1.93764	0.39122	1036.70436	23.25799	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	1	AD	Passing			
20210826-1-FLASH	53	20210826_BOTTOM_1_0007_0001.mp4	68365	20210826_TOP_1_0007_0001.mp4	71024	139.00915	PCFB22	0.00000	513.19466	-934.76428	-1689.82110	1.66497	2.95372	5.35397	0.79170	1998.16124	32.02380	Acanthuridae	Naso	spp		1	AD	Passing			
20210826-1-FLASH	57	20210826_BOTTOM_1_0007_0001.mp4	70297	20210826_TOP_1_0008_0001.mp4	1027	139.54635	PCFB22	0.53720	-124.39896	-3166.83688	-5849.60117	3.16604	36.39103	68.17340	0.56395	6652.98165	28.18561	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210826-1-FLASH	59	20210826_BOTTOM_1_0008_0001.mp4	4081	20210826_TOP_1_0008_0001.mp4	6740	141.13488	PCFB22	2.12573	-137.68162	1438.02707	-3546.85404	1.95300	10.38453	24.76261	0.88598	3829.75869	22.67099	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	3	AD	Passing			
20210826-1-FLASH	60	20210826_BOTTOM_1_0008_0001.mp4	35479	20210826_TOP_1_0008_0001.mp4	38138	149.86527	PCFB33	0.21382	729.72124	2597.57348	-5682.42586	8.26372	28.87444	62.50969	0.14330	6290.45664	25.65273	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20210826-1-FLASH	63	20210826_BOTTOM_1_0008_0001.mp4	36314	20210826_TOP_1_0008_0001.mp4	38973	150.09745	PCFB33	0.44600	277.02498	-2430.23446	-4644.38734	3.14858	21.62646	42.53098	0.53888	5249.10623	27.19863	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20210826-1-FLASH	64	20210826_BOTTOM_1_0008_0001.mp4	37287	20210826_TOP_1_0008_0001.mp4	39946	150.36800	PCFB33	0.71655	829.66245	1761.53024	-3048.14347	4.59288	9.85333	16.92316	2.72491	3616.97486	32.80842	Balistidae	Abalistes	spp		1	AD	Passing			
